HotelName,City,District,Price,Type,Facilities
Pokhara Peace Lodge,Mugu,Mugu,5271,Mountain Lodge,"Hot Water, Bar, Conference Room"
"Gonzalez, Garza and Braun Hotel",Sindhuli,Sindhuli,6136,Guest House,"Parking, WiFi, Laundry Service"
Medina-Wilson Hotel,Taplejung,Taplejung,5950,Guest House,"Television, Tea/Coffee Maker, Breakfast"
Namaste Homestay,Ramechhap,Ramechhap,8601,Motel,"WiFi, Tea/Coffee Maker, Bar"
Hotel Janaki Palace,Bara,Bara,2920,Motel,"Bar, Parking, Television"
Hotel Gorkha,Dhading,Dhading,2649,Lodge,"Bar, Garden, Conference Room"
Hotel Buddha,Mustang,Mustang,8049,Mountain Lodge,"WiFi, Security, Room ServiceFamily Rooms"
Cuevas-Wong Hotel,Gulmi,Gulmi,2816,Guest House,"WiFi, Resturant, Breakfast"
Davis LLC Hotel,Ramechhap,Ramechhap,1318,Motel,"Conference Room, Resturant, Room ServiceFamily Rooms"
Weber Inc Hotel,Rolpa,Rolpa,6123,Mountain Lodge,"Conference Room, WiFi, Room ServiceFamily Rooms"
Peaceful Valley Resort,Panchthar,Panchthar,1864,Mountain Lodge,"Resturant, Conference Room, Breakfast"
Himalayan Retreat,Sunsari,Sunsari,6926,Resort,"Resturant, Garden, Parking"
"Meza, Hernandez and Matthews Hotel",Dhankuta,Dhankuta,8985,Cabin,"Bar, Hot Water, Laundry Service"
Annapurna Guest House,Bhojpur,Bhojpur,3692,Motel,"Resturant, Air Conditioning, Tea/Coffee Maker"
Stupa View Inn,Rupandehi,Rupandehi,2845,Guest House,"Television, Resturant, Swimming Pool"
"Finley, Clements and Bowers Hotel",Solukhumbu,Solukhumbu,3694,Serviced Apartment,"Bar, Laundry Service, WiFi"
Mccullough-Smith Hotel,Dhading,Dhading,5582,Resort,"Tea/Coffee Maker, Parking, Swimming Pool"
Kathmandu Garden Inn,Kailali,Kailali,2373,Serviced Apartment,"Laundry Service, Resturant, Swimming Pool"
Smith Ltd Hotel,Ramechhap,Ramechhap,5441,Guest House,"Swimming Pool, Security, Television"
Stewart-Horne Hotel,Khotang,Khotang,4866,Mountain Lodge,"WiFi, Room ServiceFamily Rooms, Television"
Nepal Comfort Stay,Nawalpur,Nawalpur,3047,Boutique Hotel,"Conference Room, Resturant, Garden"
Hotel Gorkha,Parsa,Parsa,5722,Motel,"Room ServiceFamily Rooms, Breakfast, Resturant"
Goodman Ltd Hotel,Siraha,Siraha,2637,Bed and Breakfast,"Swimming Pool, Laundry Service, Parking"
Luna-Turner Hotel,Makwanpur,Makwanpur,6787,Lodge,"Breakfast, Bar, Air Conditioning"
Pokhara Peace Lodge,Siraha,Siraha,5565,Guest House,"Bar, Breakfast, WiFi"
"Rogers, Shannon and Hernandez Hotel",Mahottari,Mahottari,4275,Motel,"Bar, Garden, Air Conditioning"
Boyle-Horton Hotel,Wardha,Wardha,8344,Lodge,"Breakfast, WiFi, Laundry Service"
Eco Himalaya Lodge,Bara,Bara,4498,Boutique Hotel,"Tea/Coffee Maker, Laundry Service, Air Conditioning"
Carpenter PLC Hotel,Kavrepalanchok,Kavrepalanchok,6952,Mountain Lodge,"Television, Air Conditioning, Laundry Service"
Everest Base Camp Lodge,Manang,Manang,1594,Lodge,"Conference Room, Swimming Pool, Room ServiceFamily Rooms"
Peaceful Valley Resort,Rukum East,Rukum East,6147,Hostel,"Bar, Conference Room, Tea/Coffee Maker"
"Arnold, Christensen and Lee Hotel",Sunsari,Sunsari,8653,Mountain Lodge,"Laundry Service, Tea/Coffee Maker, Swimming Pool"
Mountain Sunrise Resort,Parsa,Parsa,9055,Resort,"Swimming Pool, Room ServiceFamily Rooms, Breakfast"
West-Davis Hotel,Sankhuwasabha,Sankhuwasabha,2776,Bed and Breakfast,"Tea/Coffee Maker, Breakfast, Swimming Pool"
"Hayes, Robinson and Robles Hotel",Nuwakot,Nuwakot,6453,Boutique Hotel,"Room ServiceFamily Rooms, Conference Room, Breakfast"
Villa Inc Hotel,Walung,Walung,5990,Bed and Breakfast,"Parking, Breakfast, Tea/Coffee Maker"
Everest Base Camp Lodge,Darchula,Darchula,8311,Lodge,"Air Conditioning, Bar, Tea/Coffee Maker"
Hotel Buddha,Dadeldhura,Dadeldhura,9605,Motel,"Television, Garden, Laundry Service"
Hotel Everest View,Dailekh,Dailekh,1025,Resort,"Conference Room, Air Conditioning, Parking"
Stupa View Inn,Bardiya,Bardiya,4244,Cabin,"WiFi, Parking, Swimming Pool"
Everest Base Camp Lodge,Mustang,Mustang,8129,Villa,"Swimming Pool, Laundry Service, Resturant"
Robertson-Camacho Hotel,Rupandehi,Rupandehi,9575,Hotel,"Parking, Bar, WiFi"
Brown-Harrison Hotel,Pyuthan,Pyuthan,6607,Lodge,"WiFi, Security, Laundry Service"
Lumbini Heritage Hotel,Lamjung,Lamjung,3992,Villa,"Bar, Parking, Laundry Service"
Kathmandu Garden Inn,Dailekh,Dailekh,2071,Boutique Hotel,"Bar, Television, WiFi"
Hotel Gorkha,Jhapa,Jhapa,6111,Eco-lodge,"Bar, WiFi, Resturant"
Everest Base Camp Lodge,Dolakha,Dolakha,6441,Serviced Apartment,"WiFi, Television, Parking"
"Jones, Frey and Bryant Hotel",Salyan,Salyan,7299,Cabin,"WiFi, Breakfast, Garden"
Hawkins-Reed Hotel,Siraha,Siraha,2880,Eco-lodge,"Swimming Pool, Breakfast, Garden"
Everest Base Camp Lodge,Ilam,Ilam,1925,Motel,"Air Conditioning, Tea/Coffee Maker, Bar"
Himalayan Retreat,Siraha,Siraha,2681,Guest House,"Tea/Coffee Maker, Security, Breakfast"
Nepal Comfort Stay,Dailekh,Dailekh,9915,Bed and Breakfast,"Conference Room, Swimming Pool, Laundry Service"
Pokhara Peace Lodge,Myagdi,Myagdi,4064,Boutique Hotel,"Resturant, Laundry Service, Television"
Everest Base Camp Lodge,Solukhumbu,Solukhumbu,6471,Homestay,"Conference Room, Air Conditioning, Hot Water"
Eco Himalaya Lodge,Taplejung,Taplejung,3381,Hostel,"Bar, Room ServiceFamily Rooms, Hot Water"
"Farrell, Brown and Daniels Hotel",Chitwan,Chitwan,6211,Cabin,"Tea/Coffee Maker, Hot Water, Breakfast"
Wallace Ltd Hotel,Surkhet,Surkhet,3463,Bed and Breakfast,"Room ServiceFamily Rooms, Air Conditioning, Swimming Pool"
Rogers-Lewis Hotel,Khotang,Khotang,9033,Resort,"Resturant, Conference Room, Garden"
Terry Ltd Hotel,Rukum East,Rukum East,7048,Hotel,"Hot Water, Television, Breakfast"
Lumbini Heritage Hotel,Jhapa,Jhapa,8087,Guest House,"Television, Parking, Swimming Pool"
Wilson-Weeks Hotel,Morang,Morang,1712,Bed and Breakfast,"Swimming Pool, Garden, Parking"
"Simpson, Young and Patel Hotel",Rupandehi,Rupandehi,8102,Resort,"Laundry Service, Hot Water, Air Conditioning"
The Yak Lodge,Udayapur,Udayapur,9073,Lodge,"Bar, Swimming Pool, Parking"
Pokhara Peace Lodge,Nawalpur,Nawalpur,6002,Serviced Apartment,"Hot Water, Resturant, Parking"
Himalayan Retreat,Myagdi,Myagdi,9197,Mountain Lodge,"Television, Resturant, Laundry Service"
"Banks, Marshall and Brown Hotel",Mahottari,Mahottari,7408,Mountain Lodge,"Parking, Breakfast, Television"
Wright-Jackson Hotel,Solukhumbu,Solukhumbu,2345,Hostel,"Bar, Security, Breakfast"
"Yates, Hill and Anderson Hotel",Jhapa,Jhapa,6384,Motel,"Resturant, WiFi, Bar"
Henry-Mora Hotel,Rolpa,Rolpa,8532,Mountain Lodge,"Laundry Service, Resturant, Swimming Pool"
Robles-Wilkins Hotel,Kavrepalanchok,Kavrepalanchok,7625,Bed and Breakfast,"Resturant, Parking, Tea/Coffee Maker"
Hotel Janaki Palace,Chitwan,Chitwan,3488,Hotel,"Swimming Pool, Conference Room, Laundry Service"
Carter-Ballard Hotel,Rasuwa,Rasuwa,7592,Resort,"Room ServiceFamily Rooms, Resturant, Air Conditioning"
Lara Group Hotel,Surkhet,Surkhet,5112,Villa,"Breakfast, Swimming Pool, Air Conditioning"
Namaste Homestay,Dailekh,Dailekh,5646,Bed and Breakfast,"Tea/Coffee Maker, Laundry Service, Security"
Mountain Sunrise Resort,Bhojpur,Bhojpur,4932,Hostel,"WiFi, Hot Water, Breakfast"
Nepal Comfort Stay,Dang,Dang,1546,Hotel,"Air Conditioning, Television, Room ServiceFamily Rooms"
Hotel Janaki Palace,Siraha,Siraha,5733,Villa,"Television, Breakfast, Parking"
Peaceful Valley Resort,Khotang,Khotang,5509,Resort,"Garden, Bar, WiFi"
Mountain Sunrise Resort,Chitwan,Chitwan,6624,Resort,"Room ServiceFamily Rooms, Air Conditioning, Bar"
Hartman-Burns Hotel,Kapilvastu,Kapilvastu,1166,Lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Bar"
Mcmahon-Miller Hotel,Kailali,Kailali,1216,Eco-lodge,"Security, Conference Room, WiFi"
"Thomas, Smith and Randall Hotel",Taplejung,Taplejung,1667,Hotel,"Hot Water, Room ServiceFamily Rooms, Television"
Pokhara Peace Lodge,Banke,Banke,2425,Resort,"Security, Hot Water, Breakfast"
Nepal Comfort Stay,Kavrepalanchok,Kavrepalanchok,7942,Hostel,"Room ServiceFamily Rooms, Air Conditioning, Hot Water"
Hotel Gorkha,Achham,Achham,4100,Motel,"Laundry Service, Air Conditioning, Room ServiceFamily Rooms"
"Thompson, Franco and Malone Hotel",Surkhet,Surkhet,8415,Villa,"Room ServiceFamily Rooms, Parking, Breakfast"
Mills Inc Hotel,Rukum West,Rukum West,5349,Motel,"Air Conditioning, Breakfast, WiFi"
Calderon LLC Hotel,Makwanpur,Makwanpur,5120,Bed and Breakfast,"Resturant, Hot Water, Security"
The Yak Lodge,Terhathum,Terhathum,3390,Boutique Hotel,"Breakfast, Hot Water, Resturant"
Hotel Everest View,Manang,Manang,3462,Homestay,"Laundry Service, Security, Tea/Coffee Maker"
"Santana, Whitaker and Livingston Hotel",Kapilvastu,Kapilvastu,1861,Guest House,"Garden, Laundry Service, Breakfast"
"Blake, Price and Gutierrez Hotel",Palpa,Palpa,6198,Resort,"Room ServiceFamily Rooms, Bar, WiFi"
"Burns, Washington and Baker Hotel",Udayapur,Udayapur,4688,Serviced Apartment,"WiFi, Swimming Pool, Security"
Porter and Sons Hotel,Tanahun,Tanahun,8044,Lodge,"Bar, Conference Room, Laundry Service"
Eco Himalaya Lodge,Dhankuta,Dhankuta,9237,Homestay,"Security, Laundry Service, Bar"
"Swanson, Brown and Williams Hotel",Dailekh,Dailekh,2842,Guest House,"Security, Garden, Bar"
Hotel Buddha,Bhaktapur,Bhaktapur,8693,Serviced Apartment,"Swimming Pool, Air Conditioning, Laundry Service"
Hotel Everest View,Rupandehi,Rupandehi,1463,Villa,"Parking, Swimming Pool, Bar"
Brown-Hogan Hotel,Salyan,Salyan,8960,Serviced Apartment,"Garden, Swimming Pool, Television"
Himalayan Retreat,Saptari,Saptari,1952,Cabin,"Conference Room, Bar, Parking"
Bush-Erickson Hotel,Gorkha,Gorkha,3107,Bed and Breakfast,"Tea/Coffee Maker, Room ServiceFamily Rooms, Bar"
"Humphrey, Marshall and Meyer Hotel",Pyuthan,Pyuthan,2801,Boutique Hotel,"Resturant, Breakfast, Laundry Service"
Namaste Homestay,Gulmi,Gulmi,5410,Guest House,"Bar, Air Conditioning, Parking"
"Daniels, Moore and Ray Hotel",Surkhet,Surkhet,2466,Homestay,"Bar, Television, Room ServiceFamily Rooms"
Woodward PLC Hotel,Walung,Walung,9298,Homestay,"Laundry Service, Bar, Breakfast"
Annapurna Guest House,Kavrepalanchok,Kavrepalanchok,7877,Resort,"Resturant, Garden, Television"
Everest Base Camp Lodge,Panchthar,Panchthar,9593,Hotel,"Hot Water, Security, Garden"
Mountain Sunrise Resort,Kanchanpur,Kanchanpur,2209,Hotel,"Parking, Tea/Coffee Maker, WiFi"
"Matthews, Ingram and Wilkinson Hotel",Humla,Humla,7605,Boutique Hotel,"Security, Laundry Service, Resturant"
"Warren, Vargas and Bailey Hotel",Chitwan,Chitwan,8342,Hostel,"Swimming Pool, WiFi, Garden"
Kathmandu Garden Inn,Chitwan,Chitwan,6653,Eco-lodge,"WiFi, Bar, Hot Water"
Hotel Gorkha,Saptari,Saptari,5671,Boutique Hotel,"Tea/Coffee Maker, Room ServiceFamily Rooms, Air Conditioning"
Lumbini Heritage Hotel,Siraha,Siraha,6338,Villa,"Air Conditioning, Breakfast, Laundry Service"
Avery-Wade Hotel,Darchula,Darchula,2716,Hotel,"Swimming Pool, Tea/Coffee Maker, Garden"
Hotel Janaki Palace,Rolpa,Rolpa,8955,Guest House,"Security, Room ServiceFamily Rooms, Parking"
Carter LLC Hotel,Morang,Morang,8229,Villa,"Bar, Swimming Pool, Conference Room"
Sanchez-Poole Hotel,Rasuwa,Rasuwa,4265,Hotel,"Parking, Laundry Service, Garden"
Reeves-Jones Hotel,Salyan,Salyan,4206,Hotel,"Air Conditioning, Resturant, Room ServiceFamily Rooms"
"Ford, Campbell and Schmitt Hotel",Bardiya,Bardiya,9956,Mountain Lodge,"Resturant, Air Conditioning, Breakfast"
Everest Base Camp Lodge,Makwanpur,Makwanpur,5870,Serviced Apartment,"Bar, WiFi, Security"
"Jones, Spencer and Hines Hotel",Kanchanpur,Kanchanpur,1381,Lodge,"Parking, Tea/Coffee Maker, Bar"
Lumbini Heritage Hotel,Kalikot,Kalikot,1978,Mountain Lodge,"Hot Water, Tea/Coffee Maker, Room ServiceFamily Rooms"
"Ruiz, Blankenship and Lewis Hotel",Jhapa,Jhapa,9223,Cabin,"Garden, WiFi, Breakfast"
"Nunez, Wright and Andrews Hotel",Mustang,Mustang,9947,Serviced Apartment,"Garden, Television, Parking"
Moreno-Peters Hotel,Arghakhanchi,Arghakhanchi,5859,Hotel,"Garden, Parking, Room ServiceFamily Rooms"
Bailey PLC Hotel,Mahottari,Mahottari,3956,Boutique Hotel,"Conference Room, Tea/Coffee Maker, Garden"
Pokhara Peace Lodge,Morang,Morang,6730,Boutique Hotel,"Room ServiceFamily Rooms, Television, Laundry Service"
The Yak Lodge,Bhojpur,Bhojpur,7958,Mountain Lodge,"Air Conditioning, WiFi, Garden"
Mountain Sunrise Resort,Jhapa,Jhapa,6360,Homestay,"WiFi, Room ServiceFamily Rooms, Hot Water"
Bell-Ramirez Hotel,Nawalpur,Nawalpur,7683,Bed and Breakfast,"Air Conditioning, Conference Room, Television"
Stupa View Inn,Sunsari,Sunsari,9590,Bed and Breakfast,"Tea/Coffee Maker, Security, Swimming Pool"
Hotel Buddha,Surkhet,Surkhet,8896,Motel,"Garden, Parking, Swimming Pool"
Williams and Sons Hotel,Chitwan,Chitwan,4431,Hostel,"Television, Garden, Hot Water"
"Freeman, Henderson and Thornton Hotel",Terhathum,Terhathum,6912,Hostel,"Conference Room, Swimming Pool, Resturant"
Fisher-Johnson Hotel,Kailali,Kailali,7640,Serviced Apartment,"Bar, Television, Laundry Service"
Hotel Janaki Palace,Rupandehi,Rupandehi,4819,Hotel,"Garden, Security, WiFi"
Mountain Sunrise Resort,Dadeldhura,Dadeldhura,8525,Bed and Breakfast,"Swimming Pool, Resturant, Room ServiceFamily Rooms"
Hotel Janaki Palace,Surkhet,Surkhet,4110,Boutique Hotel,"Security, Tea/Coffee Maker, Conference Room"
Kathmandu Garden Inn,Solukhumbu,Solukhumbu,4424,Bed and Breakfast,"Air Conditioning, Security, Resturant"
Hotel Everest View,Solukhumbu,Solukhumbu,1154,Hotel,"Resturant, Television, Tea/Coffee Maker"
Sherman and Sons Hotel,Mugu,Mugu,3102,Hotel,"Conference Room, WiFi, Parking"
Nepal Comfort Stay,Bara,Bara,4497,Mountain Lodge,"Laundry Service, Garden, Parking"
Lumbini Heritage Hotel,Sarlahi,Sarlahi,7540,Homestay,"Bar, Laundry Service, Breakfast"
Annapurna Guest House,Jajarkot,Jajarkot,8725,Resort,"Tea/Coffee Maker, Parking, Laundry Service"
"Jackson, Turner and Dennis Hotel",Rasuwa,Rasuwa,8157,Guest House,"Laundry Service, Garden, Hot Water"
Zavala-Smith Hotel,Parsa,Parsa,4030,Cabin,"Security, Laundry Service, Breakfast"
Annapurna Guest House,Doti,Doti,1968,Hotel,"Tea/Coffee Maker, Security, Laundry Service"
Eco Himalaya Lodge,Bardiya,Bardiya,9883,Lodge,"Air Conditioning, Security, Breakfast"
Smith Inc Hotel,Sindhupalchok,Sindhupalchok,6664,Homestay,"Television, Air Conditioning, Garden"
Pokhara Peace Lodge,Rasuwa,Rasuwa,1191,Bed and Breakfast,"Parking, Tea/Coffee Maker, Breakfast"
Ross Group Hotel,Wardha,Wardha,6760,Villa,"Bar, Television, Resturant"
Annapurna Guest House,Sunsari,Sunsari,4877,Guest House,"Garden, Bar, Room ServiceFamily Rooms"
Reyes and Sons Hotel,Manang,Manang,6840,Lodge,"Parking, Air Conditioning, Hot Water"
Namaste Homestay,Gulmi,Gulmi,6111,Bed and Breakfast,"Air Conditioning, Bar, WiFi"
Benton-Hernandez Hotel,Dadeldhura,Dadeldhura,6459,Bed and Breakfast,"Resturant, Laundry Service, WiFi"
Hotel Everest View,Rukum West,Rukum West,3228,Mountain Lodge,"Parking, Bar, Breakfast"
Pokhara Peace Lodge,Walung,Walung,1244,Homestay,"Bar, Breakfast, Conference Room"
Nepal Comfort Stay,Rupandehi,Rupandehi,9052,Hostel,"Garden, Air Conditioning, Breakfast"
Rhodes-Thompson Hotel,Bardiya,Bardiya,9427,Villa,"Hot Water, Swimming Pool, Conference Room"
The Yak Lodge,Dhading,Dhading,5174,Lodge,"Tea/Coffee Maker, Security, Hot Water"
"Mason, Palmer and Simmons Hotel",Chitwan,Chitwan,9881,Hotel,"Garden, Parking, Hot Water"
Peaceful Valley Resort,Mugu,Mugu,3204,Boutique Hotel,"Conference Room, Resturant, Garden"
Johnson-Love Hotel,Kaski,Kaski,8853,Bed and Breakfast,"Conference Room, Resturant, Air Conditioning"
Hotel Gorkha,Sindhupalchok,Sindhupalchok,9283,Hotel,"Room ServiceFamily Rooms, Conference Room, Security"
Miller Group Hotel,Rolpa,Rolpa,4420,Lodge,"Security, Breakfast, Hot Water"
Maynard-Collins Hotel,Kavrepalanchok,Kavrepalanchok,3631,Hotel,"WiFi, Security, Garden"
Moreno and Sons Hotel,Nawalpur,Nawalpur,4039,Guest House,"Air Conditioning, Television, Room ServiceFamily Rooms"
"Burns, Stout and Scott Hotel",Sindhupalchok,Sindhupalchok,1710,Hotel,"Laundry Service, Air Conditioning, Hot Water"
Stupa View Inn,Arghakhanchi,Arghakhanchi,9520,Boutique Hotel,"Bar, Security, Resturant"
"Mcgee, Gutierrez and Wallace Hotel",Bhojpur,Bhojpur,3021,Motel,"WiFi, Garden, Air Conditioning"
Richardson Group Hotel,Sindhupalchok,Sindhupalchok,9997,Guest House,"Room ServiceFamily Rooms, Tea/Coffee Maker, Hot Water"
Smith Inc Hotel,Rolpa,Rolpa,6991,Resort,"Room ServiceFamily Rooms, Laundry Service, Swimming Pool"
Hotel Everest View,Humla,Humla,6559,Lodge,"Resturant, Swimming Pool, Hot Water"
Harris-Patel Hotel,Chitwan,Chitwan,4975,Hostel,"Television, Laundry Service, Conference Room"
Lumbini Heritage Hotel,Taplejung,Taplejung,9943,Serviced Apartment,"Air Conditioning, Breakfast, Conference Room"
Lumbini Heritage Hotel,Mahottari,Mahottari,3893,Boutique Hotel,"Breakfast, Bar, Television"
Robbins-Moore Hotel,Dailekh,Dailekh,5383,Villa,"Bar, Room ServiceFamily Rooms, Conference Room"
Meyer Ltd Hotel,Arghakhanchi,Arghakhanchi,7044,Guest House,"Resturant, Room ServiceFamily Rooms, Conference Room"
Parks Ltd Hotel,Bara,Bara,9352,Resort,"Resturant, Room ServiceFamily Rooms, Security"
Annapurna Guest House,Salyan,Salyan,7729,Hostel,"Security, Air Conditioning, Tea/Coffee Maker"
Hotel Everest View,Bhojpur,Bhojpur,9760,Motel,"Parking, Air Conditioning, Swimming Pool"
Ingram-Santiago Hotel,Sindhupalchok,Sindhupalchok,6919,Hostel,"Room ServiceFamily Rooms, Television, Bar"
Hotel Gorkha,Dhankuta,Dhankuta,1364,Eco-lodge,"Garden, Resturant, Swimming Pool"
Benson-Lopez Hotel,Parsa,Parsa,4165,Hostel,"Hot Water, Security, Laundry Service"
The Yak Lodge,Humla,Humla,1473,Villa,"Swimming Pool, Bar, Television"
Mountain Sunrise Resort,Dang,Dang,1530,Serviced Apartment,"Hot Water, Swimming Pool, Security"
The Yak Lodge,Chitwan,Chitwan,2295,Guest House,"Room ServiceFamily Rooms, Air Conditioning, Garden"
"Miller, Dean and Ryan Hotel",Morang,Morang,3073,Eco-lodge,"Television, Air Conditioning, WiFi"
Chavez-Silva Hotel,Gulmi,Gulmi,4100,Villa,"Security, Swimming Pool, Resturant"
"Black, Hood and Fernandez Hotel",Darchula,Darchula,7280,Eco-lodge,"Air Conditioning, Garden, Laundry Service"
Hotel Everest View,Bara,Bara,1933,Boutique Hotel,"Air Conditioning, Hot Water, Resturant"
Flores-Valdez Hotel,Banke,Banke,7337,Homestay,"Laundry Service, Television, Garden"
Rice LLC Hotel,Dang,Dang,9002,Homestay,"Resturant, Security, Air Conditioning"
Nepal Comfort Stay,Parbat,Parbat,3394,Resort,"Security, Resturant, Swimming Pool"
"Bush, Collins and Martinez Hotel",Darchula,Darchula,3245,Guest House,"Security, Television, Bar"
Evans-Long Hotel,Rupandehi,Rupandehi,5436,Serviced Apartment,"Breakfast, Television, Conference Room"
Smith Inc Hotel,Dadeldhura,Dadeldhura,1736,Serviced Apartment,"Bar, Security, Tea/Coffee Maker"
Cole Ltd Hotel,Wardha,Wardha,2872,Boutique Hotel,"Laundry Service, Tea/Coffee Maker, Hot Water"
"Miller, Olson and Reeves Hotel",Dolakha,Dolakha,5095,Resort,"Conference Room, Breakfast, Resturant"
Hotel Buddha,Arghakhanchi,Arghakhanchi,5018,Cabin,"Air Conditioning, WiFi, Conference Room"
Davis Inc Hotel,Bardiya,Bardiya,6947,Eco-lodge,"Swimming Pool, Hot Water, Resturant"
Everest Base Camp Lodge,Dolpa,Dolpa,4681,Mountain Lodge,"Air Conditioning, Parking, Bar"
Hotel Buddha,Palpa,Palpa,1501,Homestay,"Security, Bar, Room ServiceFamily Rooms"
Namaste Homestay,Palpa,Palpa,2327,Guest House,"Garden, Conference Room, Resturant"
Nepal Comfort Stay,Achham,Achham,9493,Hotel,"Room ServiceFamily Rooms, Television, Breakfast"
Mountain Sunrise Resort,Chitwan,Chitwan,8822,Homestay,"Resturant, Laundry Service, Conference Room"
Everest Base Camp Lodge,Bhojpur,Bhojpur,1703,Hostel,"Air Conditioning, Breakfast, Swimming Pool"
"Robinson, Lowe and Conrad Hotel",Sindhupalchok,Sindhupalchok,1666,Hotel,"Bar, Air Conditioning, Hot Water"
Namaste Homestay,Siraha,Siraha,8379,Homestay,"Television, Air Conditioning, Garden"
Kathmandu Garden Inn,Saptari,Saptari,9386,Resort,"Parking, WiFi, Bar"
White-Bartlett Hotel,Sarlahi,Sarlahi,3985,Villa,"Resturant, Air Conditioning, Breakfast"
Hotel Janaki Palace,Jumla,Jumla,4406,Motel,"Hot Water, WiFi, Parking"
Haas-Warner Hotel,Makwanpur,Makwanpur,7652,Bed and Breakfast,"Room ServiceFamily Rooms, Television, Resturant"
Mountain Sunrise Resort,Mugu,Mugu,5272,Boutique Hotel,"Television, Bar, Parking"
Kathmandu Garden Inn,Terhathum,Terhathum,6771,Hostel,"Room ServiceFamily Rooms, Hot Water, Parking"
Miller Group Hotel,Bardiya,Bardiya,7332,Guest House,"Room ServiceFamily Rooms, Air Conditioning, Television"
Harris Inc Hotel,Dadeldhura,Dadeldhura,2791,Serviced Apartment,"Security, Swimming Pool, Room ServiceFamily Rooms"
Eco Himalaya Lodge,Rukum West,Rukum West,5900,Cabin,"Hot Water, Resturant, Parking"
Eco Himalaya Lodge,Okhaldhunga,Okhaldhunga,1348,Eco-lodge,"Bar, Garden, Conference Room"
Price-Ball Hotel,Terhathum,Terhathum,8210,Villa,"Parking, Security, Laundry Service"
Kathmandu Garden Inn,Udayapur,Udayapur,5637,Villa,"Air Conditioning, Conference Room, Security"
Hotel Buddha,Bardiya,Bardiya,3578,Bed and Breakfast,"Room ServiceFamily Rooms, Television, Bar"
Namaste Homestay,Solukhumbu,Solukhumbu,4151,Mountain Lodge,"Security, Resturant, Tea/Coffee Maker"
Peaceful Valley Resort,Dailekh,Dailekh,6895,Eco-lodge,"Television, Garden, Parking"
Garcia-Zimmerman Hotel,Kapilvastu,Kapilvastu,8819,Boutique Hotel,"Television, Swimming Pool, Tea/Coffee Maker"
Himalayan Retreat,Sindhupalchok,Sindhupalchok,9141,Eco-lodge,"Security, Bar, WiFi"
Johnson LLC Hotel,Humla,Humla,3243,Resort,"Security, WiFi, Hot Water"
Annapurna Guest House,Parsa,Parsa,9666,Mountain Lodge,"Room ServiceFamily Rooms, Television, Bar"
"Foley, Diaz and Nielsen Hotel",Jhapa,Jhapa,7295,Guest House,"Room ServiceFamily Rooms, Conference Room, Security"
Mountain Sunrise Resort,Kavrepalanchok,Kavrepalanchok,5635,Hostel,"Conference Room, Parking, Television"
Everest Base Camp Lodge,Chitwan,Chitwan,7941,Lodge,"Bar, Swimming Pool, Laundry Service"
"Werner, Olson and Cruz Hotel",Dolpa,Dolpa,4414,Boutique Hotel,"Parking, Tea/Coffee Maker, Breakfast"
Jimenez-Franklin Hotel,Bardiya,Bardiya,6063,Hostel,"Tea/Coffee Maker, Television, Swimming Pool"
"Soto, Price and Johnson Hotel",Mustang,Mustang,2280,Lodge,"Hot Water, Room ServiceFamily Rooms, Bar"
Peaceful Valley Resort,Gorkha,Gorkha,1256,Bed and Breakfast,"Hot Water, Swimming Pool, Television"
Massey-Johnson Hotel,Mustang,Mustang,5199,Serviced Apartment,"Bar, Security, Television"
Butler-Vega Hotel,Mugu,Mugu,1680,Boutique Hotel,"Tea/Coffee Maker, Room ServiceFamily Rooms, Resturant"
Marshall PLC Hotel,Udayapur,Udayapur,2581,Hostel,"Air Conditioning, WiFi, Resturant"
Davis-Terry Hotel,Siraha,Siraha,1805,Guest House,"Parking, Breakfast, Television"
Howe PLC Hotel,Mustang,Mustang,8163,Cabin,"Swimming Pool, Parking, Garden"
Hotel Buddha,Khotang,Khotang,7639,Hotel,"Conference Room, Bar, Hot Water"
"Romero, Cowan and Gay Hotel",Rukum West,Rukum West,3226,Resort,"WiFi, Laundry Service, Conference Room"
Mountain Sunrise Resort,Mustang,Mustang,9171,Serviced Apartment,"WiFi, Resturant, Breakfast"
Wang and Sons Hotel,Myagdi,Myagdi,5191,Lodge,"Resturant, Air Conditioning, Room ServiceFamily Rooms"
"Allen, Phillips and Huang Hotel",Ramechhap,Ramechhap,1717,Guest House,"WiFi, Security, Parking"
Kathmandu Garden Inn,Sankhuwasabha,Sankhuwasabha,5826,Serviced Apartment,"Room ServiceFamily Rooms, Tea/Coffee Maker, Breakfast"
Nelson Inc Hotel,Kalikot,Kalikot,7716,Homestay,"Swimming Pool, Conference Room, Parking"
Burns-Washington Hotel,Jhapa,Jhapa,7111,Lodge,"Security, Room ServiceFamily Rooms, Breakfast"
Larsen Inc Hotel,Kathmandu,Kathmandu,5199,Boutique Hotel,"Garden, Conference Room, Television"
Hotel Everest View,Dolakha,Dolakha,1935,Serviced Apartment,"Breakfast, Garden, Security"
Gill PLC Hotel,Pyuthan,Pyuthan,2216,Serviced Apartment,"Resturant, Security, Room ServiceFamily Rooms"
Himalayan Retreat,Humla,Humla,2041,Hotel,"Air Conditioning, Resturant, Conference Room"
